margin,voll_multiplier,model,n_replications,boundary_rate,mean_theta,sd_theta,min_theta,max_theta,boundary_rate_pct
1.0,0.5,ENTSOE,9,0.0,0.019444444444444445,0.04468252206151503,-0.025,0.075,0.0
1.0,0.5,LSTM,9,0.0,0.03333333333333334,0.0125,0.025,0.05,0.0
1.0,0.5,SARIMAX,9,0.0,0.058333333333333334,0.024999999999999998,0.025,0.1,0.0
1.0,1.0,ENTSOE,9,0.0,0.03888888888888889,0.0452615853800009,-0.025,0.1,0.0
1.0,1.0,LSTM,9,0.0,0.05277777777777778,0.015023130314433286,0.025,0.075,0.0
1.0,1.0,SARIMAX,9,0.0,0.09166666666666666,0.03307189138830738,0.05,0.15,0.0
1.0,2.0,ENTSOE,9,0.0,0.06388888888888888,0.051706973524961904,0.0,0.125,0.0
1.0,2.0,LSTM,9,0.0,0.07222222222222223,0.015023130314433288,0.05,0.1,0.0
1.0,2.0,SARIMAX,9,0.0,0.11388888888888887,0.02825970826302195,0.075,0.15,0.0
1.0,5.0,ENTSOE,9,0.0,0.08888888888888889,0.05877806658194118,0.025,0.175,0.0
1.0,5.0,LSTM,9,0.0,0.10833333333333334,0.012499999999999997,0.1,0.125,0.0
1.0,5.0,SARIMAX,9,0.0,0.13611111111111113,0.022047927592204912,0.1,0.175,0.0
1.1,0.5,ENTSOE,9,0.0,0.03333333333333333,0.03952847075210474,-0.025,0.075,0.0
1.1,0.5,LSTM,9,0.0,0.04722222222222223,0.01954339899926429,0.025,0.075,0.0
1.1,0.5,SARIMAX,9,0.0,0.07777777777777778,0.02319901817845843,0.05,0.125,0.0
1.1,1.0,ENTSOE,9,0.0,0.04722222222222222,0.04583333333333334,0.0,0.1,0.0
1.1,1.0,LSTM,9,0.0,0.058333333333333334,0.012499999999999997,0.05,0.075,0.0
1.1,1.0,SARIMAX,9,0.0,0.10277777777777779,0.023199018178458423,0.075,0.15,0.0
1.1,2.0,ENTSOE,9,0.0,0.06666666666666667,0.053033008588991064,0.0,0.125,0.0
1.1,2.0,LSTM,9,0.0,0.08333333333333333,0.0125,0.075,0.1,0.0
1.1,2.0,SARIMAX,9,0.0,0.12222222222222223,0.023199018178458423,0.075,0.15,0.0
1.1,5.0,ENTSOE,9,0.0,0.09444444444444444,0.06468406123441675,0.025,0.2,0.0
1.1,5.0,LSTM,9,0.0,0.11944444444444444,0.024295632895188747,0.1,0.15,0.0
1.1,5.0,SARIMAX,9,0.0,0.14722222222222223,0.019543398999264286,0.125,0.175,0.0
1.2,0.5,ENTSOE,9,0.0,0.058333333333333334,0.03307189138830738,0.025,0.1,0.0
1.2,0.5,LSTM,9,0.0,0.06388888888888888,0.013176156917368245,0.05,0.075,0.0
1.2,0.5,SARIMAX,9,0.0,0.1,0.01767766952966369,0.075,0.125,0.0
1.2,1.0,ENTSOE,9,0.0,0.06666666666666667,0.0414578098794425,0.025,0.125,0.0
1.2,1.0,LSTM,9,0.0,0.08333333333333333,0.0125,0.075,0.1,0.0
1.2,1.0,SARIMAX,9,0.0,0.11666666666666667,0.02165063509461096,0.1,0.15,0.0
1.2,2.0,ENTSOE,9,0.0,0.08055555555555555,0.04289845892077916,0.025,0.125,0.0
1.2,2.0,LSTM,9,0.0,0.10555555555555556,0.016666666666666666,0.075,0.125,0.0
1.2,2.0,SARIMAX,9,0.0,0.13333333333333333,0.012500000000000004,0.125,0.15,0.0
1.2,5.0,ENTSOE,9,0.0,0.10833333333333334,0.06373774391990979,0.025,0.2,0.0
1.2,5.0,LSTM,9,0.0,0.13611111111111113,0.028259708263021942,0.1,0.175,0.0
1.2,5.0,SARIMAX,9,0.0,0.15555555555555556,0.011023963796102458,0.15,0.175,0.0
1.3,0.5,ENTSOE,9,0.0,0.08611111111111111,0.0501733107449679,0.025,0.15,0.0
1.3,0.5,LSTM,9,0.0,0.10277777777777779,0.015023130314433288,0.075,0.125,0.0
1.3,0.5,SARIMAX,9,0.0,0.13055555555555556,0.011023963796102463,0.125,0.15,0.0
1.3,1.0,ENTSOE,9,0.0,0.1,0.04999999999999999,0.025,0.15,0.0
1.3,1.0,LSTM,9,0.0,0.11388888888888887,0.018162078931419464,0.1,0.15,0.0
1.3,1.0,SARIMAX,9,0.0,0.13611111111111113,0.013176156917368247,0.125,0.15,0.0
1.3,2.0,ENTSOE,9,0.0,0.1111111111111111,0.05319643889501543,0.05,0.175,0.0
1.3,2.0,LSTM,9,0.0,0.13611111111111113,0.022047927592204915,0.1,0.175,0.0
1.3,2.0,SARIMAX,9,0.0,0.15833333333333333,0.012499999999999995,0.15,0.175,0.0
1.3,5.0,ENTSOE,9,0.0,0.12777777777777777,0.07009418267191968,0.05,0.225,0.0
