strategy,formation_selected,n_rounds,mean_cost,min_budget_remaining,pct_binding
Availability-adjusted expected prediction,4-3-3,37,109.82378378378378,0.0,0.05405405405405406
Economic efficiency,3-4-3,1,28.54,81.46000000000001,0.0
Economic efficiency,4-3-3,26,43.802692307692304,58.400000000000006,0.0
Economic efficiency,5-3-2,10,39.851,57.45,0.0
Equal-weight representation,4-3-3,37,103.16027027027026,0.03999999999999204,0.0
Expected-only normalized representation,4-3-3,37,109.72189189189189,0.0,0.02702702702702703
FAME-DOC,4-3-3,37,109.67054054054054,0.0,0.02702702702702703
FAME-Original 70/20/10,4-3-3,37,109.63162162162162,0.0,0.02702702702702703
Historical mean,4-3-3,15,109.43466666666667,0.0,0.13333333333333333
Historical mean,4-4-2,2,109.51500000000001,0.06999999999999318,0.0
Historical mean,4-5-1,1,43.0,67.0,0.0
Historical mean,5-3-2,15,109.622,0.0,0.13333333333333333
Historical mean,5-4-1,4,109.6325,0.11000000000001364,0.0
Market value,3-4-3,2,110.00000000000001,-1.4210854715202004e-14,1.0
Market value,4-3-3,1,110.00000000000003,-2.842170943040401e-14,1.0
Market value,4-4-2,5,110.00000000000003,-1.4210854715202004e-14,1.0
Market value,4-5-1,4,110.00000000000001,-1.4210854715202004e-14,1.0
Market value,5-3-2,7,110.00000000000001,-1.4210854715202004e-14,1.0
Market value,5-4-1,18,110.0,-1.4210854715202004e-14,1.0
Pure conditional prediction,4-3-3,37,109.6981081081081,0.0,0.08108108108108109
Upside/dispersion only,4-3-3,37,103.98108108108109,0.0,0.02702702702702703
