weight_id,w_expected,w_upside,w_economic,selection_count,selection_frequency_pct
0.75|0.15|0.1,0.75,0.15,0.1,1200,24.0
1.0|0.0|0.0,1.0,0.0,0.0,744,14.88
0.9|0.05|0.05,0.9,0.05,0.05,713,14.26
0.8|0.15|0.05,0.8,0.15,0.05,448,8.96
0.85|0.0|0.15,0.85,0.0,0.15,333,6.66
0.65|0.15|0.2,0.65,0.15,0.2,178,3.56
0.85|0.1|0.05,0.85,0.1,0.05,147,2.94
0.7|0.15|0.15,0.7,0.15,0.15,129,2.58
0.75|0.25|0.0,0.75,0.25,0.0,123,2.46
0.5|0.25|0.25,0.5,0.25,0.25,96,1.92
0.65|0.0|0.35,0.65,0.0,0.35,86,1.72
0.75|0.0|0.25,0.75,0.0,0.25,83,1.66
0.65|0.1|0.25,0.65,0.1,0.25,76,1.52
0.7|0.0|0.3,0.7,0.0,0.3,76,1.52
0.55|0.1|0.35,0.55,0.1,0.35,52,1.04
0.9|0.1|0.0,0.9,0.1,0.0,40,0.8
0.85|0.15|0.0,0.85,0.15,0.0,39,0.78
0.7|0.3|0.0,0.7,0.3,0.0,33,0.66
0.95|0.0|0.05,0.95,0.0,0.05,32,0.64
0.6|0.4|0.0,0.6,0.4,0.0,30,0.6
0.75|0.1|0.15,0.75,0.1,0.15,29,0.58
0.8|0.05|0.15,0.8,0.05,0.15,28,0.56
0.75|0.05|0.2,0.75,0.05,0.2,27,0.54
0.7|0.05|0.25,0.7,0.05,0.25,25,0.5
0.75|0.2|0.05,0.75,0.2,0.05,24,0.48
0.6|0.15|0.25,0.6,0.15,0.25,23,0.46
0.95|0.05|0.0,0.95,0.05,0.0,23,0.46
0.8|0.0|0.2,0.8,0.0,0.2,17,0.34
0.85|0.05|0.1,0.85,0.05,0.1,16,0.32
0.8|0.1|0.1,0.8,0.1,0.1,16,0.32
0.45|0.3|0.25,0.45,0.3,0.25,14,0.28
0.6|0.2|0.2,0.6,0.2,0.2,13,0.26
0.6|0.35|0.05,0.6,0.35,0.05,13,0.26
0.65|0.2|0.15,0.65,0.2,0.15,12,0.24
0.9|0.0|0.1,0.9,0.0,0.1,10,0.2
0.4|0.35|0.25,0.4,0.35,0.25,9,0.18
0.6|0.1|0.3,0.6,0.1,0.3,6,0.12
0.8|0.2|0.0,0.8,0.2,0.0,5,0.1
0.45|0.5|0.05,0.45,0.5,0.05,5,0.1
0.5|0.2|0.3,0.5,0.2,0.3,4,0.08
0.55|0.4|0.05,0.55,0.4,0.05,3,0.06
0.55|0.45|0.0,0.55,0.45,0.0,3,0.06
0.4|0.5|0.1,0.4,0.5,0.1,3,0.06
0.45|0.25|0.3,0.45,0.25,0.3,3,0.06
0.65|0.35|0.0,0.65,0.35,0.0,2,0.04
0.7|0.2|0.1,0.7,0.2,0.1,2,0.04
0.5|0.3|0.2,0.5,0.3,0.2,1,0.02
0.4|0.3|0.3,0.4,0.3,0.3,1,0.02
0.5|0.4|0.1,0.5,0.4,0.1,1,0.02
0.65|0.3|0.05,0.65,0.3,0.05,1,0.02
0.5|0.05|0.45,0.5,0.05,0.45,1,0.02
0.6|0.0|0.4,0.6,0.0,0.4,1,0.02
0.5|0.45|0.05,0.5,0.45,0.05,1,0.02
0.15|0.45|0.4,0.15,0.45,0.4,0,0.0
0.15|0.3|0.55,0.15,0.3,0.55,0,0.0
0.0|0.9|0.1,0.0,0.9,0.1,0,0.0
0.0|1.0|0.0,0.0,1.0,0.0,0,0.0
0.15|0.05|0.8,0.15,0.05,0.8,0,0.0
0.15|0.0|0.85,0.15,0.0,0.85,0,0.0
0.15|0.15|0.7,0.15,0.15,0.7,0,0.0
0.15|0.1|0.75,0.15,0.1,0.75,0,0.0
0.15|0.25|0.6,0.15,0.25,0.6,0,0.0
0.15|0.2|0.65,0.15,0.2,0.65,0,0.0
0.15|0.35|0.5,0.15,0.35,0.5,0,0.0
0.05|0.05|0.9,0.05,0.05,0.9,0,0.0
0.05|0.0|0.95,0.05,0.0,0.95,0,0.0
0.05|0.15|0.8,0.05,0.15,0.8,0,0.0
0.05|0.1|0.85,0.05,0.1,0.85,0,0.0
0.05|0.25|0.7,0.05,0.25,0.7,0,0.0
0.05|0.2|0.75,0.05,0.2,0.75,0,0.0
0.05|0.35|0.6,0.05,0.35,0.6,0,0.0
0.05|0.3|0.65,0.05,0.3,0.65,0,0.0
0.05|0.45|0.5,0.05,0.45,0.5,0,0.0
0.05|0.4|0.55,0.05,0.4,0.55,0,0.0
0.05|0.55|0.4,0.05,0.55,0.4,0,0.0
0.05|0.5|0.45,0.05,0.5,0.45,0,0.0
0.05|0.65|0.3,0.05,0.65,0.3,0,0.0
0.05|0.6|0.35,0.05,0.6,0.35,0,0.0
0.05|0.75|0.2,0.05,0.75,0.2,0,0.0
0.05|0.7|0.25,0.05,0.7,0.25,0,0.0
0.05|0.85|0.1,0.05,0.85,0.1,0,0.0
0.05|0.8|0.15,0.05,0.8,0.15,0,0.0
0.05|0.95|0.0,0.05,0.95,0.0,0,0.0
0.05|0.9|0.05,0.05,0.9,0.05,0,0.0
0.0|0.05|0.95,0.0,0.05,0.95,0,0.0
0.0|0.0|1.0,0.0,0.0,1.0,0,0.0
0.0|0.15|0.85,0.0,0.15,0.85,0,0.0
0.0|0.1|0.9,0.0,0.1,0.9,0,0.0
0.0|0.25|0.75,0.0,0.25,0.75,0,0.0
0.0|0.2|0.8,0.0,0.2,0.8,0,0.0
0.0|0.35|0.65,0.0,0.35,0.65,0,0.0
0.0|0.3|0.7,0.0,0.3,0.7,0,0.0
0.0|0.45|0.55,0.0,0.45,0.55,0,0.0
0.0|0.4|0.6,0.0,0.4,0.6,0,0.0
0.0|0.55|0.45,0.0,0.55,0.45,0,0.0
0.0|0.5|0.5,0.0,0.5,0.5,0,0.0
0.0|0.65|0.35,0.0,0.65,0.35,0,0.0
0.0|0.6|0.4,0.0,0.6,0.4,0,0.0
0.0|0.75|0.25,0.0,0.75,0.25,0,0.0
0.0|0.7|0.3,0.0,0.7,0.3,0,0.0
0.0|0.85|0.15,0.0,0.85,0.15,0,0.0
0.0|0.8|0.2,0.0,0.8,0.2,0,0.0
0.0|0.95|0.05,0.0,0.95,0.05,0,0.0
0.2|0.45|0.35,0.2,0.45,0.35,0,0.0
0.2|0.3|0.5,0.2,0.3,0.5,0,0.0
0.2|0.35|0.45,0.2,0.35,0.45,0,0.0
0.2|0.2|0.6,0.2,0.2,0.6,0,0.0
0.2|0.25|0.55,0.2,0.25,0.55,0,0.0
0.2|0.1|0.7,0.2,0.1,0.7,0,0.0
0.2|0.15|0.65,0.2,0.15,0.65,0,0.0
0.2|0.0|0.8,0.2,0.0,0.8,0,0.0
0.2|0.05|0.75,0.2,0.05,0.75,0,0.0
0.25|0.7|0.05,0.25,0.7,0.05,0,0.0
0.25|0.75|0.0,0.25,0.75,0.0,0,0.0
0.25|0.6|0.15,0.25,0.6,0.15,0,0.0
0.25|0.65|0.1,0.25,0.65,0.1,0,0.0
0.25|0.5|0.25,0.25,0.5,0.25,0,0.0
0.25|0.55|0.2,0.25,0.55,0.2,0,0.0
0.25|0.4|0.35,0.25,0.4,0.35,0,0.0
0.25|0.45|0.3,0.25,0.45,0.3,0,0.0
0.25|0.3|0.45,0.25,0.3,0.45,0,0.0
0.25|0.35|0.4,0.25,0.35,0.4,0,0.0
0.25|0.2|0.55,0.25,0.2,0.55,0,0.0
0.25|0.25|0.5,0.25,0.25,0.5,0,0.0
0.25|0.1|0.65,0.25,0.1,0.65,0,0.0
0.25|0.15|0.6,0.25,0.15,0.6,0,0.0
0.25|0.0|0.75,0.25,0.0,0.75,0,0.0
0.25|0.05|0.7,0.25,0.05,0.7,0,0.0
0.1|0.9|0.0,0.1,0.9,0.0,0,0.0
0.1|0.8|0.1,0.1,0.8,0.1,0,0.0
0.1|0.85|0.05,0.1,0.85,0.05,0,0.0
0.1|0.7|0.2,0.1,0.7,0.2,0,0.0
0.1|0.75|0.15,0.1,0.75,0.15,0,0.0
0.1|0.6|0.3,0.1,0.6,0.3,0,0.0
0.1|0.65|0.25,0.1,0.65,0.25,0,0.0
0.1|0.5|0.4,0.1,0.5,0.4,0,0.0
0.1|0.55|0.35,0.1,0.55,0.35,0,0.0
0.1|0.4|0.5,0.1,0.4,0.5,0,0.0
0.1|0.45|0.45,0.1,0.45,0.45,0,0.0
0.1|0.3|0.6,0.1,0.3,0.6,0,0.0
0.1|0.35|0.55,0.1,0.35,0.55,0,0.0
0.1|0.2|0.7,0.1,0.2,0.7,0,0.0
0.1|0.25|0.65,0.1,0.25,0.65,0,0.0
0.1|0.1|0.8,0.1,0.1,0.8,0,0.0
0.1|0.15|0.75,0.1,0.15,0.75,0,0.0
0.1|0.0|0.9,0.1,0.0,0.9,0,0.0
0.1|0.05|0.85,0.1,0.05,0.85,0,0.0
0.15|0.8|0.05,0.15,0.8,0.05,0,0.0
0.15|0.85|0.0,0.15,0.85,0.0,0,0.0
0.15|0.7|0.15,0.15,0.7,0.15,0,0.0
0.15|0.75|0.1,0.15,0.75,0.1,0,0.0
0.15|0.6|0.25,0.15,0.6,0.25,0,0.0
0.15|0.65|0.2,0.15,0.65,0.2,0,0.0
0.15|0.5|0.35,0.15,0.5,0.35,0,0.0
0.15|0.55|0.3,0.15,0.55,0.3,0,0.0
0.15|0.4|0.45,0.15,0.4,0.45,0,0.0
0.35|0.45|0.2,0.35,0.45,0.2,0,0.0
0.2|0.4|0.4,0.2,0.4,0.4,0,0.0
0.2|0.55|0.25,0.2,0.55,0.25,0,0.0
0.35|0.05|0.6,0.35,0.05,0.6,0,0.0
0.35|0.0|0.65,0.35,0.0,0.65,0,0.0
0.2|0.5|0.3,0.2,0.5,0.3,0,0.0
0.2|0.65|0.15,0.2,0.65,0.15,0,0.0
0.2|0.6|0.2,0.2,0.6,0.2,0,0.0
0.2|0.75|0.05,0.2,0.75,0.05,0,0.0
0.2|0.7|0.1,0.2,0.7,0.1,0,0.0
0.2|0.8|0.0,0.2,0.8,0.0,0,0.0
0.55|0.0|0.45,0.55,0.0,0.45,0,0.0
0.55|0.05|0.4,0.55,0.05,0.4,0,0.0
0.4|0.6|0.0,0.4,0.6,0.0,0,0.0
0.4|0.55|0.05,0.4,0.55,0.05,0,0.0
0.4|0.45|0.15,0.4,0.45,0.15,0,0.0
0.4|0.4|0.2,0.4,0.4,0.2,0,0.0
0.4|0.25|0.35,0.4,0.25,0.35,0,0.0
0.4|0.2|0.4,0.4,0.2,0.4,0,0.0
0.4|0.05|0.55,0.4,0.05,0.55,0,0.0
0.4|0.0|0.6,0.4,0.0,0.6,0,0.0
0.4|0.1|0.5,0.4,0.1,0.5,0,0.0
0.4|0.15|0.45,0.4,0.15,0.45,0,0.0
0.45|0.35|0.2,0.45,0.35,0.2,0,0.0
0.45|0.45|0.1,0.45,0.45,0.1,0,0.0
0.45|0.4|0.15,0.45,0.4,0.15,0,0.0
0.45|0.55|0.0,0.45,0.55,0.0,0,0.0
0.3|0.6|0.1,0.3,0.6,0.1,0,0.0
0.3|0.65|0.05,0.3,0.65,0.05,0,0.0
0.45|0.05|0.5,0.45,0.05,0.5,0,0.0
0.3|0.7|0.0,0.3,0.7,0.0,0,0.0
0.45|0.1|0.45,0.45,0.1,0.45,0,0.0
0.45|0.2|0.35,0.45,0.2,0.35,0,0.0
0.45|0.0|0.55,0.45,0.0,0.55,0,0.0
0.45|0.15|0.4,0.45,0.15,0.4,0,0.0
0.3|0.5|0.2,0.3,0.5,0.2,0,0.0
0.3|0.55|0.15,0.3,0.55,0.15,0,0.0
0.3|0.25|0.45,0.3,0.25,0.45,0,0.0
0.3|0.2|0.5,0.3,0.2,0.5,0,0.0
0.3|0.35|0.35,0.3,0.35,0.35,0,0.0
0.3|0.3|0.4,0.3,0.3,0.4,0,0.0
0.3|0.45|0.25,0.3,0.45,0.25,0,0.0
0.3|0.4|0.3,0.3,0.4,0.3,0,0.0
0.35|0.3|0.35,0.35,0.3,0.35,0,0.0
0.35|0.35|0.3,0.35,0.35,0.3,0,0.0
0.35|0.2|0.45,0.35,0.2,0.45,0,0.0
0.35|0.25|0.4,0.35,0.25,0.4,0,0.0
0.35|0.1|0.55,0.35,0.1,0.55,0,0.0
0.35|0.15|0.5,0.35,0.15,0.5,0,0.0
0.3|0.1|0.6,0.3,0.1,0.6,0,0.0
0.3|0.15|0.55,0.3,0.15,0.55,0,0.0
0.3|0.0|0.7,0.3,0.0,0.7,0,0.0
0.3|0.05|0.65,0.3,0.05,0.65,0,0.0
0.35|0.6|0.05,0.35,0.6,0.05,0,0.0
0.35|0.65|0.0,0.35,0.65,0.0,0,0.0
0.35|0.5|0.15,0.35,0.5,0.15,0,0.0
0.35|0.55|0.1,0.35,0.55,0.1,0,0.0
0.35|0.4|0.25,0.35,0.4,0.25,0,0.0
0.5|0.35|0.15,0.5,0.35,0.15,0,0.0
0.6|0.25|0.15,0.6,0.25,0.15,0,0.0
0.6|0.05|0.35,0.6,0.05,0.35,0,0.0
0.65|0.05|0.3,0.65,0.05,0.3,0,0.0
0.65|0.25|0.1,0.65,0.25,0.1,0,0.0
0.5|0.5|0.0,0.5,0.5,0.0,0,0.0
0.5|0.15|0.35,0.5,0.15,0.35,0,0.0
0.5|0.0|0.5,0.5,0.0,0.5,0,0.0
0.55|0.15|0.3,0.55,0.15,0.3,0,0.0
0.55|0.35|0.1,0.55,0.35,0.1,0,0.0
0.55|0.3|0.15,0.55,0.3,0.15,0,0.0
0.55|0.25|0.2,0.55,0.25,0.2,0,0.0
0.55|0.2|0.25,0.55,0.2,0.25,0,0.0
0.5|0.1|0.4,0.5,0.1,0.4,0,0.0
0.7|0.25|0.05,0.7,0.25,0.05,0,0.0
0.6|0.3|0.1,0.6,0.3,0.1,0,0.0
0.7|0.1|0.2,0.7,0.1,0.2,0,0.0
