w_expected,w_upside,w_economic,n_rounds,mean_utility,median_utility,sd_utility,cumulative_utility,mean_cost,pct_budget_binding,rank_mean,within_1pct_best
0.75,0.15,0.1,37,57.792972972972976,56.79,19.026581094304312,2138.34,108.73216216216217,0.0,1,True
0.9,0.05,0.05,37,57.2227027027027,53.85,18.838281304102356,2117.24,109.61594594594594,0.0,2,True
0.8,0.15,0.05,37,57.16972972972974,56.79,18.083945686480913,2115.28,109.38432432432433,0.0,3,False
0.85,0.0,0.15,37,56.9054054054054,52.77,17.996911400847925,2105.5,108.05459459459459,0.02702702702702703,4,False
1.0,0.0,0.0,37,56.88810810810811,53.94000000000001,17.984305632942824,2104.86,109.69351351351351,0.02702702702702703,5,False
0.65,0.15,0.2,37,56.82918918918919,57.709999999999994,20.07480640260578,2102.68,103.7927027027027,0.0,6,False
0.7,0.15,0.15,37,56.77513513513513,54.650000000000006,19.72927134736349,2100.68,106.7554054054054,0.0,7,False
0.85,0.1,0.05,37,56.59054054054054,53.85,19.98506524965663,2093.85,109.5354054054054,0.02702702702702703,8,False
0.75,0.2,0.05,37,56.51459459459459,58.510000000000005,17.45750532556677,2091.04,109.33783783783784,0.0,9,False
0.85,0.15,0.0,37,56.34621621621621,56.79,18.843241988007758,2084.81,109.66027027027027,0.02702702702702703,10,False
0.65,0.1,0.25,37,56.34432432432432,54.589999999999996,18.710525786979506,2084.74,100.01189189189189,0.0,11,False
0.75,0.25,0.0,37,56.329459459459464,58.510000000000005,16.471589504683838,2084.19,109.4981081081081,0.0,12,False
0.65,0.2,0.15,37,56.20648648648648,55.870000000000005,18.58873960466632,2079.64,106.58756756756756,0.0,13,False
0.75,0.1,0.15,37,56.17486486486486,52.81999999999999,20.63274428637128,2078.47,107.21972972972974,0.0,14,False
0.8,0.1,0.1,37,56.17081081081081,53.85,20.557584080168883,2078.32,108.83162162162162,0.02702702702702703,15,False
0.9,0.1,0.0,37,56.14027027027027,56.79,20.09540750277791,2077.19,109.65621621621622,0.02702702702702703,16,False
0.8,0.05,0.15,37,56.098108108108114,52.489999999999995,18.344495819642383,2075.63,107.83108108108108,0.0,17,False
0.95,0.05,0.0,37,56.056216216216214,51.77000000000001,19.364382302359967,2074.08,109.67405405405405,0.0,18,False
0.8,0.0,0.2,37,56.02540540540541,54.650000000000006,17.399247524373415,2072.94,105.7927027027027,0.02702702702702703,19,False
0.7,0.2,0.1,37,55.99243243243243,58.510000000000005,17.82958814340262,2071.72,108.7,0.0,20,False
0.85,0.05,0.1,37,55.97027027027027,52.489999999999995,18.394612056325155,2070.9,108.94189189189188,0.0,21,False
0.5,0.25,0.25,37,55.95135135135135,57.87,16.54820704657929,2070.2,97.09,0.0,22,False
0.7,0.3,0.0,37,55.90243243243243,58.510000000000005,16.7554926989804,2068.39,109.44405405405405,0.0,23,False
0.75,0.05,0.2,37,55.86297297297297,52.87,18.154205185463674,2066.93,105.40378378378378,0.0,24,False
0.8,0.2,0.0,37,55.83432432432432,57.36,17.98015287608666,2065.87,109.6327027027027,0.0,25,False
0.9,0.0,0.1,37,55.833513513513516,53.379999999999995,17.518159976977575,2065.84,109.48405405405406,0.0,26,False
0.95,0.0,0.05,37,55.833513513513516,53.50000000000001,17.96201148971787,2065.84,109.60810810810811,0.0,27,False
0.75,0.0,0.25,37,55.79783783783784,55.040000000000006,15.910871743548173,2064.52,102.83486486486485,0.0,28,False
0.7,0.1,0.2,37,55.717837837837834,53.92,19.43376502309763,2061.56,104.48243243243243,0.0,29,False
0.6,0.15,0.25,37,55.71675675675676,50.65,18.33318970459709,2061.52,99.0381081081081,0.0,30,False
0.7,0.05,0.25,37,55.711351351351354,52.87,17.069146005156366,2061.32,102.56351351351351,0.0,31,False
0.6,0.35,0.05,37,55.65945945945946,54.84,16.903055927840384,2059.4,108.80081081081082,0.0,32,False
0.7,0.25,0.05,37,55.601621621621625,54.19,17.014371623475892,2057.26,109.21108108108108,0.0,33,False
0.65,0.3,0.05,37,55.57189189189189,54.93,16.713096301642853,2056.16,109.15297297297298,0.0,34,False
0.45,0.3,0.25,37,55.472972972972975,52.089999999999996,16.385068891603193,2052.5,96.04351351351352,0.0,35,False
0.6,0.2,0.2,37,55.3754054054054,55.870000000000005,18.92553794840814,2048.89,102.61837837837838,0.0,36,False
0.65,0.25,0.1,37,55.332432432432434,53.85,17.007218305016092,2047.3,108.3772972972973,0.0,37,False
0.55,0.35,0.1,37,55.2972972972973,54.84,15.459211322532427,2046.0,107.65324324324324,0.0,38,False
0.5,0.35,0.15,37,55.24054054054054,54.84,15.71569384510379,2043.9,104.40459459459458,0.0,39,False
0.55,0.4,0.05,37,55.22108108108108,54.84,15.435155361091152,2043.18,108.35081081081081,0.0,40,False
0.5,0.4,0.1,37,55.20324324324324,54.84,15.430789936943542,2042.52,107.0372972972973,0.0,41,False
0.6,0.3,0.1,37,55.18378378378378,54.93,16.679085598329312,2041.8,108.1445945945946,0.0,42,False
0.65,0.35,0.0,37,55.032162162162166,59.85,16.27177961569852,2036.19,109.13162162162162,0.0,43,False
0.55,0.3,0.15,37,55.0027027027027,56.720000000000006,16.160697978712406,2035.1,105.73216216216217,0.0,44,False
0.6,0.4,0.0,37,54.93324324324324,59.85,16.677186522321453,2032.53,108.98027027027027,0.0,45,False
0.5,0.3,0.2,37,54.902702702702705,56.589999999999996,16.66479400290202,2031.4,100.26324324324325,0.0,46,False
0.55,0.1,0.35,37,54.66162162162162,51.209999999999994,16.289084367131245,2022.48,90.5964864864865,0.0,47,False
0.45,0.4,0.15,37,54.64405405405405,54.650000000000006,14.69093171908354,2021.83,103.18027027027027,0.0,48,False
