strategy,n_rounds,mean_utility,median_utility,sd_utility,cumulative_utility,mean_cost,min_budget_remaining,pct_budget_binding
Availability-adjusted expected prediction,37,59.0918918918919,60.550000000000004,16.83777793432868,2186.4,109.82378378378378,0.0,0.05405405405405406
Expected-only normalized representation,37,56.758918918918916,54.37,15.310466242952126,2100.08,109.72189189189189,0.0,0.02702702702702703
FAME-DOC,37,54.74621621621621,55.42000000000001,14.584628580832659,2025.61,109.67054054054054,0.0,0.02702702702702703
FAME-Original 70/20/10,37,54.23405405405405,55.18,14.73526221526283,2006.6599999999999,109.63162162162162,0.0,0.02702702702702703
Equal-weight representation,37,53.90108108108108,57.3,16.499281092719666,1994.34,103.16027027027026,0.03999999999999204,0.0
Pure conditional prediction,37,52.27891891891892,49.95,16.6297814817914,1934.32,109.6981081081081,0.0,0.08108108108108109
Market value,37,35.50351351351351,31.46,18.211880160460616,1313.6299999999999,110.00000000000001,-2.842170943040401e-14,1.0
Historical mean,37,32.83162162162162,29.099999999999998,15.824005939204012,1214.77,107.74081081081081,0.0,0.10810810810810811
Upside/dispersion only,37,31.183243243243243,29.08,15.65404244100369,1153.78,103.98108108108109,0.0,0.02702702702702703
Economic efficiency,37,30.45594594594595,27.749999999999996,13.74479345050325,1126.8700000000001,42.322162162162165,57.45,0.0
