strategy,criterion,k,precision_mean,recall_mean,ndcg_mean,spearman_mean,kendall_mean
Availability-adjusted expected prediction,pred_expected,5,0.08648648648648649,0.08648648648648649,0.4169249440496875,0.5201011533521602,0.39200079673609933
Availability-adjusted expected prediction,pred_expected,10,0.11351351351351352,0.11351351351351352,0.4542328563584348,0.5201011533521602,0.39200079673609933
Availability-adjusted expected prediction,pred_expected,20,0.15135135135135136,0.15135135135135136,0.4893958685697177,0.5201011533521602,0.39200079673609933
Economic efficiency,economic_efficiency,5,0.005405405405405406,0.005405405405405406,0.23937411634853958,0.4566924297523288,0.34030142853951284
Economic efficiency,economic_efficiency,10,0.01891891891891892,0.01891891891891892,0.2735107067006021,0.4566924297523288,0.34030142853951284
Economic efficiency,economic_efficiency,20,0.04864864864864865,0.04864864864864865,0.3197098140997768,0.4566924297523288,0.34030142853951284
Equal-weight representation,score_equal_weight,5,0.08108108108108109,0.08108108108108109,0.3672870141088391,0.4688550446265245,0.35092641635113847
Equal-weight representation,score_equal_weight,10,0.10270270270270271,0.10270270270270271,0.39183588423073734,0.4688550446265245,0.35092641635113847
Equal-weight representation,score_equal_weight,20,0.15945945945945947,0.15945945945945947,0.42777674765721385,0.4688550446265245,0.35092641635113847
Expected-only normalized representation,score_expected_only_normalized,5,0.08648648648648649,0.08648648648648649,0.4169249440496875,0.5201011533521602,0.39200079673609933
Expected-only normalized representation,score_expected_only_normalized,10,0.11351351351351352,0.11351351351351352,0.4542328563584348,0.5201011533521602,0.39200079673609933
Expected-only normalized representation,score_expected_only_normalized,20,0.15135135135135136,0.15135135135135136,0.4893958685697177,0.5201011533521602,0.39200079673609933
FAME-DOC,score_fame_doc,5,0.10270270270270271,0.10270270270270271,0.4092803249671623,0.5116096303276197,0.3850659717576242
FAME-DOC,score_fame_doc,10,0.13243243243243244,0.13243243243243244,0.44043944456970624,0.5116096303276197,0.3850659717576242
FAME-DOC,score_fame_doc,20,0.17972972972972973,0.17972972972972973,0.4647229277902913,0.5116096303276197,0.3850659717576242
FAME-Original 70/20/10,score_fame_original,5,0.0972972972972973,0.0972972972972973,0.4110734000627515,0.5053068252969688,0.3799851557059292
FAME-Original 70/20/10,score_fame_original,10,0.13243243243243244,0.13243243243243244,0.44105953455834646,0.5053068252969688,0.3799851557059292
FAME-Original 70/20/10,score_fame_original,20,0.18378378378378377,0.18378378378378377,0.46775563051560176,0.5053068252969688,0.3799851557059292
Historical mean,media_num,5,0.06486486486486487,0.06486486486486487,0.31060835512543666,0.40497079062784336,0.31258049185093095
Historical mean,media_num,10,0.07297297297297298,0.07297297297297298,0.3325225595768982,0.40497079062784336,0.31258049185093095
Historical mean,media_num,20,0.11351351351351352,0.11351351351351352,0.37717035158138634,0.40497079062784336,0.31258049185093095
Market value,preco_num,5,0.08108108108108109,0.08108108108108109,0.35211931538486013,0.38530483747690014,0.2919693296748056
Market value,preco_num,10,0.0972972972972973,0.0972972972972973,0.37506800226378767,0.38530483747690014,0.2919693296748056
Market value,preco_num,20,0.14054054054054055,0.14054054054054055,0.41669757791326617,0.38530483747690014,0.2919693296748056
Pure conditional prediction,pred_conditional_ensemble,5,0.08108108108108109,0.08108108108108109,0.4010442182778965,0.32082500578669215,0.23996076717485737
Pure conditional prediction,pred_conditional_ensemble,10,0.11351351351351352,0.11351351351351352,0.4335024378135704,0.32082500578669215,0.23996076717485737
Pure conditional prediction,pred_conditional_ensemble,20,0.16216216216216217,0.16216216216216217,0.4659322309760142,0.32082500578669215,0.23996076717485737
Upside/dispersion only,upside_component_raw,5,0.043243243243243246,0.043243243243243246,0.2873465683416846,0.09036579559209738,0.06751818024747244
Upside/dispersion only,upside_component_raw,10,0.06486486486486487,0.06486486486486487,0.3123846450482728,0.09036579559209738,0.06751818024747244
Upside/dispersion only,upside_component_raw,20,0.10405405405405406,0.10405405405405406,0.33866176642433243,0.09036579559209738,0.06751818024747244
