strategy,mean_utility,ci95_low,ci95_high
Availability-adjusted expected prediction,59.0918918918919,53.67906081081082,64.57703378378378
Economic efficiency,30.455945945945942,26.202135135135137,34.86677702702703
Equal-weight representation,53.90108108108108,48.4937162162162,59.122256756756755
Expected-only normalized representation,56.758918918918916,52.010216216216214,61.747371621621625
FAME-DOC,54.74621621621622,50.196472972972956,59.4182635135135
FAME-Original 70/20/10,54.23405405405405,49.67901351351351,58.874918918918915
Historical mean,32.83162162162162,27.985209459459465,37.81882432432432
Market value,35.50351351351352,29.841945945945948,41.41946621621622
Pure conditional prediction,52.27891891891892,47.05991216216216,57.73622297297296
Upside/dispersion only,31.183243243243247,26.412763513513514,36.12488513513513
