position_id,position,model,candidate_id,params_json,folds,mean_RMSE,mean_MAE,mean_R2,mean_correlation
1,goleiro,RF,62,"{""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 75, ""n_estimators"": 1500}",5,3.8841786232246656,3.3063244776558465,-0.006200662314748096,-0.01625042127905771
1,goleiro,RF,14,"{""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 1500}",5,3.884228487092094,3.307291490540075,-0.0061679404729467315,-0.016099174303515783
1,goleiro,RF,34,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 75, ""n_estimators"": 1050}",5,3.8857441493795255,3.306732159246642,-0.007028561718766468,-0.017470548413313955
1,goleiro,RF,8,"{""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 850}",5,3.885902074413707,3.3087306632727183,-0.007071639884349734,-0.019141381779621408
1,goleiro,RF,20,"{""max_depth"": 2, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 500}",5,3.8874546063845488,3.3107208283113443,-0.00787729699221107,-0.013485847068692039
1,goleiro,RF,56,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 700}",5,3.889256674854157,3.3109273509690063,-0.008797638457268931,-0.016850538955335417
1,goleiro,RF,26,"{""max_depth"": 2, ""max_features"": 0.3, ""min_samples_leaf"": 50, ""n_estimators"": 1350}",5,3.890944472085973,3.312119920163304,-0.009817140120745216,-0.01695821722636876
1,goleiro,RF,1,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 50, ""n_estimators"": 950}",5,3.8909483229120654,3.3089442175051658,-0.009730685317313092,-0.009739897803034036
1,goleiro,RF,39,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 50, ""n_estimators"": 1350}",5,3.8910677670782428,3.308813171084135,-0.009798903800865455,-0.010553293605136797
1,goleiro,RF,36,"{""max_depth"": 2, ""max_features"": 0.3, ""min_samples_leaf"": 30, ""n_estimators"": 650}",5,3.891361756495667,3.313431970205438,-0.010028419385534847,-0.015808648890771344
1,goleiro,RF,29,"{""max_depth"": 12, ""max_features"": 0.3, ""min_samples_leaf"": 75, ""n_estimators"": 650}",5,3.892868911356044,3.312349487564732,-0.010780173033581652,-0.005809500126133571
1,goleiro,RF,57,"{""max_depth"": 8, ""max_features"": 0.3, ""min_samples_leaf"": 75, ""n_estimators"": 850}",5,3.892935584738942,3.312318742426215,-0.010818631927863942,-0.0067801870694918056
1,goleiro,RF,60,"{""max_depth"": 2, ""max_features"": 0.5, ""min_samples_leaf"": 20, ""n_estimators"": 300}",5,3.893222680898435,3.3147296314299295,-0.011006652045492338,-0.017971972520640027
1,goleiro,RF,38,"{""max_depth"": 2, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 1700}",5,3.893259718500847,3.3138819425133135,-0.011007831627377219,-0.011909089031977646
1,goleiro,RF,28,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 30, ""n_estimators"": 400}",5,3.893446051189051,3.3133146634720334,-0.011040148293710982,-0.0064793071465801075
1,goleiro,RF,18,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 1200}",5,3.893691622708933,3.3139919734095913,-0.011143018905821011,-0.001503716002724767
1,goleiro,RF,48,"{""max_depth"": 2, ""max_features"": 1.0, ""min_samples_leaf"": 75, ""n_estimators"": 1050}",5,3.8941877313095086,3.312300685257333,-0.011571553939504731,-0.009632402104525267
1,goleiro,RF,32,"{""max_depth"": 2, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 900}",5,3.89455096439116,3.3151382190346887,-0.01169117441980192,-0.014229522671003626
1,goleiro,RF,59,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 30, ""n_estimators"": 1600}",5,3.8948521998587124,3.3131614281689763,-0.011775862750546939,-0.00013584536166075245
1,goleiro,RF,6,"{""max_depth"": 5, ""max_features"": 0.5, ""min_samples_leaf"": 75, ""n_estimators"": 1650}",5,3.895253261715799,3.312384954620751,-0.012044329171985968,-0.005271616513694312
1,goleiro,RF,55,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 75, ""n_estimators"": 1250}",5,3.8956501352969264,3.313022608483301,-0.012247263208094461,-0.0053962602161097325
1,goleiro,RF,12,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 75, ""n_estimators"": 450}",5,3.896080684372874,3.3131454127980446,-0.012507131610247146,-0.0064493395143788625
1,goleiro,RF,50,"{""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 30, ""n_estimators"": 1200}",5,3.8969327168540233,3.3165255291696645,-0.013043286345685834,-0.01805290521631233
1,goleiro,RF,2,"{""max_depth"": 3, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 1150}",5,3.8972053744220796,3.3175393787114773,-0.013026476900754291,-0.008123896021868087
1,goleiro,RF,42,"{""max_depth"": 3, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 1350}",5,3.897221088364686,3.3170922299072236,-0.013038105443729475,-0.0076879179069690605
1,goleiro,RF,64,"{""max_depth"": 3, ""max_features"": 0.5, ""min_samples_leaf"": 30, ""n_estimators"": 950}",5,3.897286678888102,3.3170830261649713,-0.013147237456941996,-0.005333511524162254
1,goleiro,RF,4,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 600}",5,3.899735125193884,3.319202217394122,-0.014379629895920032,-0.004554837343616275
1,goleiro,RF,22,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 50, ""n_estimators"": 1700}",5,3.8999505582374887,3.316250431846355,-0.014569078653767775,-0.006557138401886568
1,goleiro,RF,30,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""n_estimators"": 1600}",5,3.8999914187161635,3.318296053916844,-0.014506162723180083,-0.007827676275717111
1,goleiro,RF,19,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 75, ""n_estimators"": 1450}",5,3.900227306358566,3.3155075657508126,-0.014628939521003748,-0.0009502034294845308
1,goleiro,RF,10,"{""max_depth"": 3, ""max_features"": 1.0, ""min_samples_leaf"": 20, ""n_estimators"": 1250}",5,3.900652339696913,3.317716346721921,-0.014938653726581786,-0.002114301834858075
1,goleiro,RF,45,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 500}",5,3.9012909840367067,3.3198851358540464,-0.015146890500627919,-0.0010694131430057873
1,goleiro,RF,37,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 50, ""n_estimators"": 350}",5,3.9015262966894504,3.3184834464412645,-0.015301437741248458,0.0035054592158380374
1,goleiro,RF,24,"{""max_depth"": 5, ""max_features"": 0.5, ""min_samples_leaf"": 50, ""n_estimators"": 750}",5,3.9017350166519265,3.318309117132352,-0.015444544189347532,-0.0009256484790189951
1,goleiro,RF,13,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 50, ""n_estimators"": 550}",5,3.903569916118996,3.3199108797516503,-0.016398339333118316,-0.0008022447428886248
1,goleiro,RF,16,"{""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""n_estimators"": 950}",5,3.9065321695828232,3.3261167776934144,-0.017778605707676663,0.0017806598729225673
1,goleiro,RF,43,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 50, ""n_estimators"": 1750}",5,3.906880029773105,3.3212351261971533,-0.01813081612558043,0.0005158664286166653
1,goleiro,RF,3,"{""max_depth"": 12, ""max_features"": 0.3, ""min_samples_leaf"": 30, ""n_estimators"": 1550}",5,3.9068934926879657,3.3232616446591976,-0.018109597917498797,0.002548915789034348
1,goleiro,RF,54,"{""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 10, ""n_estimators"": 1800}",5,3.907665334321849,3.3257325941569533,-0.018463933699191016,-3.1404646597306404e-05
1,goleiro,RF,52,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 50, ""n_estimators"": 550}",5,3.908159435644574,3.321348475358083,-0.018807591446269888,0.001065171039981125
1,goleiro,RF,15,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 50, ""n_estimators"": 1150}",5,3.9087674714326957,3.321743316614909,-0.01912066052644663,0.0028251268626244054
1,goleiro,RF,44,"{""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""n_estimators"": 400}",5,3.9092916787826653,3.328637485807307,-0.019226388673619477,0.0004345942560944643
1,goleiro,RF,46,"{""max_depth"": 5, ""max_features"": 0.8, ""min_samples_leaf"": 20, ""n_estimators"": 1450}",5,3.9107775917217227,3.325107724574824,-0.020153147346061263,0.009194086057676984
1,goleiro,RF,23,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 1300}",5,3.914999360194236,3.3332369981694363,-0.02220968201672737,-0.0043317772495007605
1,goleiro,RF,40,"{""max_depth"": 5, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 800}",5,3.9155851012876455,3.3296651253884404,-0.02259020208863114,0.007626760272082672
1,goleiro,RF,49,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 1000}",5,3.9160290741152126,3.3327977115706346,-0.022788086651229156,0.00027070684532989333
1,goleiro,RF,17,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 30, ""n_estimators"": 1050}",5,3.9175262808561704,3.3309017062564976,-0.02372614170864762,0.004463766452668305
1,goleiro,RF,31,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 20, ""n_estimators"": 1100}",5,3.9179108763019186,3.3327155799096944,-0.023878646312903394,0.014230629921342209
1,goleiro,RF,58,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 1400}",5,3.918058529430309,3.331628914268805,-0.023848546081775845,0.0031796046100813573
1,goleiro,RF,9,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 20, ""n_estimators"": 700}",5,3.918307806240174,3.3331630049418024,-0.02410082667487732,0.014995002305048518
1,goleiro,RF,41,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 30, ""n_estimators"": 750}",5,3.9195896466882183,3.3311924070126415,-0.024816994127643488,0.00689088535787388
1,goleiro,RF,53,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 20, ""n_estimators"": 500}",5,3.9217890898091405,3.3330059936302083,-0.025904945366620115,0.01905733382605642
1,goleiro,RF,35,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 20, ""n_estimators"": 1600}",5,3.924511110457445,3.335872014188363,-0.027332265099527308,0.015041880340024346
1,goleiro,RF,21,"{""max_depth"": 12, ""max_features"": 0.3, ""min_samples_leaf"": 10, ""n_estimators"": 400}",5,3.9327914574559903,3.346407450584698,-0.03154211539285172,0.010354275777312296
1,goleiro,RF,27,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 1700}",5,3.9338947730926757,3.343702749571066,-0.032180054113117994,0.018277881840229555
1,goleiro,RF,51,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 1500}",5,3.9367754666370254,3.3473251875964296,-0.03362753126284375,0.01213812928746561
1,goleiro,RF,5,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 350}",5,3.9450683956623527,3.351906119068313,-0.03789766319654775,0.02083563507606486
1,goleiro,RF,63,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 1100}",5,3.94775567015475,3.354430907898057,-0.03946556226214808,0.0219058619582838
1,goleiro,RF,7,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 1400}",5,3.949099072827675,3.3559760429422916,-0.04017077501813664,0.02023908402410082
1,goleiro,RF,11,"{""max_depth"": 12, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 1750}",5,3.9605581074101535,3.369508002817498,-0.04609894750663664,0.012286496555189572
1,goleiro,RF,33,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 850}",5,3.9730359323075417,3.3759250788466195,-0.05262411408657299,0.014733580288702457
1,goleiro,RF,61,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 600}",5,3.976647522642029,3.377235094506156,-0.05466362330988197,0.019167085461140022
1,goleiro,RF,47,"{""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 1250}",5,3.982917589960972,3.3841884597628735,-0.05784798403860476,0.014182061517119737
