temporada,rodada_target,lineup_strategy,captain_rule,captain_player_id,captain_realized_score,captain_bonus,final_team_utility_with_captain,oracle_realized_score,captain_regret_score,is_oracle
2025,2,FAME-DOC,Highest Market Value,99228,3.5,1.75,34.53,7.7,4.2,False
2025,2,FAME-DOC,Highest Historical Mean,70916,0.0,0.0,32.78,7.7,7.7,False
2025,2,FAME-DOC,Highest Expected Performance,82627,7.7,3.85,36.63,7.7,0.0,True
2025,2,FAME-DOC,Highest Conditional Prediction,81881,4.2,2.1,34.88,7.7,3.5,False
2025,2,FAME-DOC,Highest FAME Representation,82627,7.7,3.85,36.63,7.7,0.0,True
2025,3,FAME-DOC,Highest Market Value,94509,0.0,0.0,54.37,10.7,10.7,False
2025,3,FAME-DOC,Highest Historical Mean,93879,0.0,0.0,54.37,10.7,10.7,False
2025,3,FAME-DOC,Highest Expected Performance,94509,0.0,0.0,54.37,10.7,10.7,False
2025,3,FAME-DOC,Highest Conditional Prediction,94509,0.0,0.0,54.37,10.7,10.7,False
2025,3,FAME-DOC,Highest FAME Representation,93879,0.0,0.0,54.37,10.7,10.7,False
2025,4,FAME-DOC,Highest Market Value,87999,1.9,0.95,40.480000000000004,10.7,8.799999999999999,False
2025,4,FAME-DOC,Highest Historical Mean,102975,10.7,5.35,44.88,10.7,0.0,True
2025,4,FAME-DOC,Highest Expected Performance,91607,1.9,0.95,40.480000000000004,10.7,8.799999999999999,False
2025,4,FAME-DOC,Highest Conditional Prediction,91607,1.9,0.95,40.480000000000004,10.7,8.799999999999999,False
2025,4,FAME-DOC,Highest FAME Representation,91607,1.9,0.95,40.480000000000004,10.7,8.799999999999999,False
2025,5,FAME-DOC,Highest Market Value,99815,5.8,2.9,55.18,12.4,6.6000000000000005,False
2025,5,FAME-DOC,Highest Historical Mean,101290,12.4,6.2,58.480000000000004,12.4,0.0,True
2025,5,FAME-DOC,Highest Expected Performance,99815,5.8,2.9,55.18,12.4,6.6000000000000005,False
2025,5,FAME-DOC,Highest Conditional Prediction,99815,5.8,2.9,55.18,12.4,6.6000000000000005,False
2025,5,FAME-DOC,Highest FAME Representation,105811,5.3,2.65,54.93,12.4,7.1000000000000005,False
2025,6,FAME-DOC,Highest Market Value,99815,3.9,1.95,73.05,12.2,8.299999999999999,False
2025,6,FAME-DOC,Highest Historical Mean,103445,8.9,4.45,75.55,12.2,3.299999999999999,False
2025,6,FAME-DOC,Highest Expected Performance,103445,8.9,4.45,75.55,12.2,3.299999999999999,False
2025,6,FAME-DOC,Highest Conditional Prediction,98672,8.3,4.15,75.25,12.2,3.8999999999999986,False
2025,6,FAME-DOC,Highest FAME Representation,98672,8.3,4.15,75.25,12.2,3.8999999999999986,False
2025,7,FAME-DOC,Highest Market Value,99815,14.5,7.25,53.41,14.5,0.0,True
2025,7,FAME-DOC,Highest Historical Mean,90703,1.4,0.7,46.86,14.5,13.1,False
2025,7,FAME-DOC,Highest Expected Performance,70360,1.7,0.85,47.01,14.5,12.8,False
2025,7,FAME-DOC,Highest Conditional Prediction,70360,1.7,0.85,47.01,14.5,12.8,False
2025,7,FAME-DOC,Highest FAME Representation,78850,0.0,0.0,46.16,14.5,14.5,False
2025,8,FAME-DOC,Highest Market Value,96610,25.6,12.8,82.72999999999999,25.6,0.0,True
2025,8,FAME-DOC,Highest Historical Mean,104528,8.0,4.0,73.92999999999999,25.6,17.6,False
2025,8,FAME-DOC,Highest Expected Performance,96610,25.6,12.8,82.72999999999999,25.6,0.0,True
2025,8,FAME-DOC,Highest Conditional Prediction,104528,8.0,4.0,73.92999999999999,25.6,17.6,False
2025,8,FAME-DOC,Highest FAME Representation,70360,3.8,1.9,71.83,25.6,21.8,False
2025,9,FAME-DOC,Highest Market Value,104528,0.4,0.2,61.00000000000001,12.4,12.0,False
2025,9,FAME-DOC,Highest Historical Mean,104528,0.4,0.2,61.00000000000001,12.4,12.0,False
