w_expected,w_upside,w_economic,l1_distance_to_original,mean_utility_2024,rank_2024,mean_utility_2025,rank_2025
0.0,0.0,1.0,1.7999999999999998,29.107027027027026,230,30.45594594594595,231
0.0,0.05,0.95,1.7,29.47594594594595,229,34.575945945945946,228
0.0,0.1,0.9,1.6,32.76810810810811,224,37.3072972972973,226
0.0,0.15,0.85,1.5,36.5554054054054,218,37.55135135135136,225
0.0,0.2,0.8,1.4,37.741891891891896,214,39.89,220
0.0,0.25,0.75,1.4,37.72486486486486,215,40.233513513513515,218
0.0,0.3,0.7,1.4,40.28675675675675,205,40.75945945945946,216
0.0,0.35,0.65,1.4,42.030270270270265,197,42.16594594594595,207
0.0,0.4,0.6,1.4,44.47756756756757,175,42.38648648648648,205
0.0,0.45,0.55,1.4,44.85648648648649,169,43.946216216216214,194
0.0,0.5,0.5,1.4,44.307567567567574,177,44.802972972972974,189
0.0,0.55,0.45,1.4,44.792162162162164,171,45.825405405405405,179
0.0,0.6,0.4,1.4,45.27432432432432,162,47.00108108108108,169
0.0,0.65,0.35,1.4,45.87513513513514,156,48.203783783783784,148
0.0,0.7,0.3,1.4,45.89405405405405,155,46.59594594594594,173
0.0,0.75,0.25,1.4,46.08324324324324,151,46.90945945945946,171
0.0,0.8,0.2,1.4000000000000001,45.79675675675676,158,47.33378378378378,162
0.0,0.85,0.15,1.4,45.11027027027027,165,47.18702702702703,165
0.0,0.9,0.1,1.4,42.814864864864866,192,44.40054054054054,192
0.0,0.95,0.05,1.5,38.88513513513514,211,42.66702702702703,202
0.0,1.0,0.0,1.6,24.59243243243243,231,32.620000000000005,230
0.05,0.0,0.95,1.6999999999999997,29.7327027027027,228,33.799189189189185,229
0.05,0.05,0.9,1.6,32.70297297297297,225,38.611621621621616,224
0.05,0.1,0.85,1.5,35.347297297297295,220,39.56135135135135,222
0.05,0.15,0.8,1.4,39.398918918918916,209,39.66675675675676,221
0.05,0.2,0.75,1.2999999999999998,39.473243243243246,208,40.03864864864865,219
0.05,0.25,0.7,1.2999999999999998,40.52216216216216,204,41.62135135135135,210
0.05,0.3,0.65,1.2999999999999998,42.95351351351351,188,41.5172972972973,212
0.05,0.35,0.6,1.2999999999999998,43.16135135135135,184,42.33783783783784,206
0.05,0.4,0.55,1.2999999999999998,44.637567567567565,174,43.15432432432433,200
0.05,0.45,0.5,1.2999999999999998,46.056216216216214,153,45.46405405405405,181
0.05,0.5,0.45,1.2999999999999998,45.32378378378378,160,46.0181081081081,176
0.05,0.55,0.4,1.3,44.85702702702703,168,47.54054054054054,160
0.05,0.6,0.35,1.2999999999999998,46.369729729729734,148,48.321621621621624,145
0.05,0.65,0.3,1.2999999999999998,46.07783783783784,152,48.545945945945945,143
0.05,0.7,0.25,1.2999999999999998,46.37243243243243,147,47.71378378378379,156
0.05,0.75,0.2,1.3,45.80918918918919,157,48.30972972972973,146
0.05,0.8,0.15,1.3,45.174054054054054,164,46.60081081081081,172
0.05,0.85,0.1,1.2999999999999998,45.03810810810811,166,46.489999999999995,174
0.05,0.9,0.05,1.4,44.064594594594595,179,44.80486486486486,188
0.05,0.95,0.0,1.5,38.112972972972976,212,41.60216216216216,211
0.1,0.0,0.9,1.6,31.466756756756755,227,36.45756756756757,227
0.1,0.05,0.85,1.5,34.36027027027027,222,40.89972972972973,215
0.1,0.1,0.8,1.4,37.494324324324324,217,41.027837837837836,214
0.1,0.15,0.75,1.3,40.10351351351351,206,41.73243243243243,209
0.1,0.2,0.7,1.2,41.03945945945946,203,42.02945945945946,208
0.1,0.25,0.65,1.2,41.282162162162166,202,42.86108108108108,201
0.1,0.3,0.6,1.2,43.04027027027027,186,43.21351351351352,199
0.1,0.35,0.55,1.2000000000000002,42.89918918918919,190,45.35297297297297,182
0.1,0.4,0.5,1.2000000000000002,44.685945945945946,172,46.45594594594594,175
0.1,0.45,0.45,1.2,46.47783783783784,146,47.24783783783784,164
0.1,0.5,0.4,1.2,46.15135135135135,150,47.83378378378378,154
0.1,0.55,0.35,1.2,47.73891891891892,129,49.83378378378378,128
0.1,0.6,0.3,1.2,46.75243243243243,140,49.45,133
0.1,0.65,0.25,1.2,46.725405405405404,142,48.652702702702705,142
0.1,0.7,0.2,1.2,47.06054054054054,136,48.05837837837837,151
0.1,0.75,0.15,1.2,46.70324324324324,143,48.89,140
0.1,0.8,0.1,1.2000000000000002,48.31675675675676,124,47.067567567567565,167
0.1,0.85,0.05,1.3,46.73486486486487,141,47.619729729729734,157
0.1,0.9,0.0,1.4,42.56432432432432,194,45.22162162162162,184
0.15,0.0,0.85,1.5,31.720270270270273,226,39.048918918918915,223
0.15,0.05,0.8,1.4,35.50351351351351,219,41.48891891891892,213
0.15,0.1,0.75,1.2999999999999998,38.95918918918919,210,42.619729729729734,203
0.15,0.15,0.7,1.2,41.53864864864865,198,42.516216216216215,204
0.15,0.2,0.65,1.1,42.04108108108108,196,43.832432432432434,196
0.15,0.25,0.6,1.0999999999999999,42.83162162162162,191,44.50027027027027,191
0.15,0.3,0.55,1.1,43.04,187,45.81648648648649,180
0.15,0.35,0.5,1.1,44.8681081081081,167,47.325945945945946,163
0.15,0.4,0.45,1.1,46.83891891891892,138,48.17891891891892,149
0.15,0.45,0.4,1.1,46.678378378378376,144,49.21405405405405,137
0.15,0.5,0.35,1.0999999999999999,47.733513513513515,130,51.53918918918919,106
0.15,0.55,0.3,1.0999999999999999,47.45243243243243,134,49.263513513513516,135
0.15,0.6,0.25,1.0999999999999999,47.5527027027027,132,49.78243243243244,129
0.15,0.65,0.2,1.1,48.762702702702704,117,49.83864864864865,127
0.15,0.7,0.15,1.0999999999999999,50.14378378378378,104,50.08189189189189,121
0.15,0.75,0.1,1.1,50.4627027027027,100,49.85216216216216,126
0.15,0.8,0.05,1.2,48.8727027027027,116,47.79810810810811,155
0.15,0.85,0.0,1.2999999999999998,43.65081081081081,182,45.9972972972973,178
0.2,0.0,0.8,1.4,33.35621621621622,223,40.68459459459459,217
0.2,0.05,0.75,1.2999999999999998,37.5954054054054,216,43.41891891891892,198
0.2,0.1,0.7,1.2,41.47918918918919,199,44.35702702702703,193
0.2,0.15,0.65,1.1,42.91189189189189,189,43.52324324324324,197
0.2,0.2,0.6,1.0,42.78243243243244,193,45.25405405405406,183
0.2,0.25,0.55,1.0,43.83405405405405,180,45.152702702702705,185
0.2,0.3,0.5,0.9999999999999999,44.81567567567568,170,47.41918918918919,161
0.2,0.35,0.45,0.9999999999999999,47.567567567567565,131,47.909729729729726,153
0.2,0.4,0.4,1.0,48.15405405405406,127,50.300540540540545,119
0.2,0.45,0.35,1.0,48.47702702702703,122,52.509459459459464,93
0.2,0.5,0.3,0.9999999999999999,48.34837837837838,123,52.111351351351345,98
0.2,0.55,0.25,1.0,48.527567567567566,121,49.61405405405405,131
0.2,0.6,0.2,0.9999999999999999,49.77621621621622,110,50.33297297297297,117
0.2,0.65,0.15,1.0,51.384324324324325,90,51.17648648648649,111
0.2,0.7,0.1,0.9999999999999999,51.69513513513514,87,50.45027027027027,116
0.2,0.75,0.05,1.1,49.93027027027027,109,47.582432432432434,158
0.2,0.8,0.0,1.2000000000000002,46.92189189189189,137,48.06,150
0.25,0.0,0.75,1.2999999999999998,35.08027027027027,221,44.62783783783784,190
0.25,0.05,0.7,1.2,39.77918918918919,207,45.05135135135136,186
0.25,0.1,0.65,1.1,42.52243243243243,195,43.88918918918919,195
0.25,0.15,0.6,1.0,43.11891891891892,185,44.902432432432434,187
0.25,0.2,0.55,0.9,43.798648648648644,181,46.01621621621622,177
0.25,0.25,0.5,0.8999999999999999,45.24621621621621,163,47.01756756756757,168
0.25,0.3,0.45,0.8999999999999999,47.821351351351346,128,48.785405405405406,141
0.25,0.35,0.4,0.8999999999999999,48.28135135135135,125,52.814054054054054,85
0.25,0.4,0.35,0.8999999999999999,49.75351351351352,111,52.72135135135135,90
0.25,0.45,0.3,0.8999999999999999,49.0,115,52.719459459459465,91
0.25,0.5,0.25,0.9,49.74297297297297,112,52.62756756756757,92
0.25,0.55,0.2,0.9,50.53297297297297,97,50.61945945945946,115
0.25,0.6,0.15,0.8999999999999999,52.18972972972973,84,51.825135135135135,101
0.25,0.65,0.1,0.8999999999999999,51.476216216216216,89,51.20972972972973,110
0.25,0.7,0.05,1.0,50.64243243243243,96,49.060810810810814,138
0.25,0.75,0.0,1.1,49.39675675675675,114,48.262702702702704,147
0.3,0.0,0.7,1.2,37.98027027027027,213,47.141621621621624,166
0.3,0.05,0.65,1.1,41.31027027027027,201,47.54243243243243,159
0.3,0.1,0.6,1.0,43.62108108108108,183,46.93783783783784,170
0.3,0.15,0.55,0.9,44.20189189189189,178,47.961891891891895,152
0.3,0.2,0.5,0.8,45.71216216216216,159,48.468918918918924,144
0.3,0.25,0.45,0.7999999999999999,47.527297297297295,133,49.00216216216216,139
0.3,0.3,0.4,0.8,50.115675675675675,105,52.72918918918919,88
0.3,0.35,0.35,0.7999999999999999,50.06702702702703,107,52.77,87
0.3,0.4,0.3,0.7999999999999999,51.25405405405406,91,54.2572972972973,66
0.3,0.45,0.25,0.7999999999999999,51.707837837837836,86,54.91675675675676,53
0.3,0.5,0.2,0.7999999999999999,52.31054054054054,82,52.81675675675676,84
0.3,0.55,0.15,0.8,52.222162162162164,83,52.83378378378379,82
0.3,0.6,0.1,0.7999999999999999,52.69297297297297,74,50.99621621621621,112
0.3,0.65,0.05,0.9,50.09918918918918,106,49.479729729729726,132
0.3,0.7,0.0,0.9999999999999999,50.16567567567567,103,49.41216216216216,134
0.35,0.0,0.65,1.1,41.421891891891896,200,49.233513513513515,136
0.35,0.05,0.6,1.0,44.44837837837838,176,51.47621621621622,108
0.35,0.1,0.55,0.9,45.31648648648649,161,51.76837837837838,103
0.35,0.15,0.5,0.8,46.35216216216216,149,49.73756756756757,130
0.35,0.2,0.45,0.7,48.21378378378379,126,50.07621621621622,122
0.35,0.25,0.4,0.7,49.73810810810811,113,53.82378378378378,74
