w_expected,w_upside,w_economic,mean_utility,sd_utility,rank_mean
0.7,0.0,0.3,58.89756756756757,16.174401999147605,1
0.75,0.0,0.25,58.80135135135136,16.609728936540336,2
0.65,0.05,0.3,58.23135135135135,16.644728087989996,3
0.9,0.0,0.1,57.59918918918919,16.762295384181325,4
0.65,0.0,0.35,57.49081081081081,16.14805343934308,5
0.5,0.25,0.25,57.42756756756757,15.396166803859078,6
0.6,0.0,0.4,57.365945945945946,17.32566295981187,7
0.9,0.05,0.05,57.29108108108108,14.66541032190746,8
0.85,0.0,0.15,57.272162162162154,17.800542303713847,9
0.8,0.05,0.15,57.1827027027027,15.371558449264642,10
0.6,0.15,0.25,57.1281081081081,14.153493451331263,11
0.8,0.0,0.2,56.99324324324324,17.30230268137967,12
0.6,0.05,0.35,56.85513513513513,16.758488002207127,13
0.45,0.3,0.25,56.83837837837838,15.458826948725143,14
0.85,0.05,0.1,56.82756756756756,14.649042328464382,15
0.8,0.1,0.1,56.800810810810816,16.591353902690532,16
0.7,0.05,0.25,56.769459459459455,15.203671330370241,17
1.0,0.0,0.0,56.758918918918916,15.310466242952126,18
0.75,0.05,0.2,56.744864864864866,15.226132255220083,19
0.65,0.1,0.25,56.6727027027027,15.981626716091592,20
0.55,0.05,0.4,56.545405405405404,16.568525649320524,21
0.45,0.25,0.3,56.47540540540541,14.49236592037235,22
0.65,0.15,0.2,56.391081081081076,15.539564341058922,23
0.55,0.2,0.25,56.37864864864866,15.1611387658935,24
0.85,0.1,0.05,56.35675675675675,15.370999218234546,25
0.75,0.1,0.15,56.24135135135135,16.655242444975123,26
0.4,0.25,0.35,56.14702702702703,15.21106886171764,27
0.55,0.1,0.35,56.119189189189186,17.737787563776312,28
0.4,0.3,0.3,56.10648648648649,15.173636167199163,29
0.7,0.1,0.2,56.09972972972973,16.25282752947015,30
0.5,0.1,0.4,56.04675675675676,16.16158013693347,31
0.95,0.05,0.0,56.024324324324326,14.495261014962507,32
0.95,0.0,0.05,55.9972972972973,15.805508998912838,33
0.5,0.3,0.2,55.88702702702703,14.347042061551083,34
